geneId,diseaseId,geneSymbol,diseaseName,recordCount,pubmedCount,directEvidence,inferenceChemicalCount
3757,MESH:D016171,KCNH2,Torsades de Pointes,1,3,marker/mechanism,0
3759,MESH:D001145,KCNJ2,"Arrhythmias, Cardiac",1,2,marker/mechanism,0
3784,MESH:D003924,KCNQ1,"Diabetes Mellitus, Type 2",1,3,marker/mechanism,0
3784,MESH:D008133,KCNQ1,Long QT Syndrome,1,7,marker/mechanism,0
3791,MESH:D001943,KDR,Breast Neoplasms,1,2,marker/mechanism,0
3791,MESH:D015179,KDR,Colorectal Neoplasms,1,2,marker/mechanism|therapeutic,0
3791,MESH:D004938,KDR,Esophageal Neoplasms,1,2,marker/mechanism,0
9817,MESH:D011471,KEAP1,Prostatic Neoplasms,1,2,marker/mechanism,0
3815,MESH:D046152,KIT,Gastrointestinal Stromal Tumors,1,3,marker/mechanism,0
3817,MESH:D011471,KLK2,Prostatic Neoplasms,1,2,marker/mechanism,0
354,MESH:D011471,KLK3,Prostatic Neoplasms,1,11,marker/mechanism,0
4297,MESH:D007938,KMT2A,Leukemia,1,2,marker/mechanism,0
4297,MESH:D015470,KMT2A,"Leukemia, Myeloid, Acute",1,2,marker/mechanism,0
4297,MESH:D054198,KMT2A,Precursor Cell Lymphoblastic Leukemia-Lymphoma,1,2,marker/mechanism,0
3845,MESH:D000230,KRAS,Adenocarcinoma,1,3,marker/mechanism,0
3845,MESH:D000077192,KRAS,Adenocarcinoma of Lung,1,7,marker/mechanism,0
3845,MESH:D000236,KRAS,Adenoma,1,4,marker/mechanism,0
3845,MESH:D002277,KRAS,Carcinoma,1,2,marker/mechanism,0
3845,MESH:D006528,KRAS,"Carcinoma, Hepatocellular",1,2,marker/mechanism,0
3845,MESH:D002289,KRAS,"Carcinoma, Non-Small-Cell Lung",1,7,marker/mechanism,0
3845,MESH:D002294,KRAS,"Carcinoma, Squamous Cell",1,2,marker/mechanism,0
3845,MESH:D018281,KRAS,Cholangiocarcinoma,1,2,marker/mechanism,0
3845,MESH:D003110,KRAS,Colonic Neoplasms,1,6,marker/mechanism,0
3845,MESH:D015179,KRAS,Colorectal Neoplasms,1,3,marker/mechanism,0
3845,MESH:D004195,KRAS,"Disease Models, Animal",1,3,marker/mechanism,0
3845,MESH:D006394,KRAS,Hemangiosarcoma,1,4,marker/mechanism,0
3845,MESH:D008113,KRAS,Liver Neoplasms,1,2,marker/mechanism,0
3845,MESH:D008175,KRAS,Lung Neoplasms,1,34,marker/mechanism,0
3845,MESH:D009369,KRAS,Neoplasms,1,2,marker/mechanism,0
3845,MESH:D009374,KRAS,"Neoplasms, Experimental",1,5,marker/mechanism,0
3845,MESH:D010190,KRAS,Pancreatic Neoplasms,1,6,marker/mechanism,0
3845,MESH:D013274,KRAS,Stomach Neoplasms,1,2,marker/mechanism,0
3875,MESH:D001943,KRT18,Breast Neoplasms,1,2,marker/mechanism,0
3875,MESH:D056486,KRT18,Chemical and Drug Induced Liver Injury,1,3,marker/mechanism,0
3875,MESH:D008106,KRT18,"Liver Cirrhosis, Experimental",1,4,marker/mechanism,0
3875,MESH:D008113,KRT18,Liver Neoplasms,1,2,marker/mechanism,0
3856,MESH:D008106,KRT8,"Liver Cirrhosis, Experimental",1,2,marker/mechanism,0
3856,MESH:D008113,KRT8,Liver Neoplasms,1,2,marker/mechanism,0
3908,MESH:D012559,LAMA2,Schizophrenia,1,2,marker/mechanism,0
3934,MESH:D058186,LCN2,Acute Kidney Injury,1,5,marker/mechanism,0
3934,MESH:D056486,LCN2,Chemical and Drug Induced Liver Injury,1,2,marker/mechanism,0
3934,MESH:D007674,LCN2,Kidney Diseases,1,4,marker/mechanism,0
3934,MESH:D008106,LCN2,"Liver Cirrhosis, Experimental",1,2,marker/mechanism,0
3949,MESH:D050197,LDLR,Atherosclerosis,1,7,marker/mechanism|therapeutic,0
3949,MESH:D003324,LDLR,Coronary Artery Disease,1,2,marker/mechanism,0
3949,MESH:D050171,LDLR,Dyslipidemias,1,2,marker/mechanism,0
3949,MESH:D005234,LDLR,Fatty Liver,1,2,marker/mechanism,0
3949,MESH:D006937,LDLR,Hypercholesterolemia,1,4,marker/mechanism,0
3949,MESH:D006949,LDLR,Hyperlipidemias,1,2,marker/mechanism,0
3949,MESH:D006938,LDLR,Hyperlipoproteinemia Type II,1,7,marker/mechanism,0
3949,MESH:D065626,LDLR,Non-alcoholic Fatty Liver Disease,1,3,marker/mechanism,0
3952,MESH:D001943,LEP,Breast Neoplasms,1,2,marker/mechanism,0
3952,MESH:D003921,LEP,"Diabetes Mellitus, Experimental",1,3,marker/mechanism,0
3952,MESH:D005234,LEP,Fatty Liver,1,6,marker/mechanism,0
3952,MESH:D018149,LEP,Glucose Intolerance,1,3,marker/mechanism,0
