ncrnaId,drugId,ncrnaName,ncrnaType,drugName,phenotypeCount,pmidCount,effects,detectionMethods,levels,fda,targetGenes,pathways
circBase:hsa_circ_0045171,DrugBank:DB00515,hsa_circ_0045171,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0045178,DrugBank:DB00515,hsa_circ_0045178,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0045185,DrugBank:DB00515,hsa_circ_0045185,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0045186,DrugBank:DB00515,hsa_circ_0045186,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0045195,DrugBank:DB00515,hsa_circ_0045195,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0045270,DrugBank:DB00515,hsa_circ_0045270,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0045313,DrugBank:DB00515,hsa_circ_0045313,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0045352,DrugBank:DB00515,hsa_circ_0045352,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0045380,DrugBank:DB00515,hsa_circ_0045380,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0045457,DrugBank:DB00515,hsa_circ_0045457,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0045468,DrugBank:DB00515,hsa_circ_0045468,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0045512,DrugBank:DB00515,hsa_circ_0045512,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
