ncrnaId,phenotypeId,ncrnaName,ncrnaType,phenotypeName,drugCount,pmidCount,effects,levels,targetGenes,pathways
ENSEMBL:ENSG00000248243,PHENO:Cholangiocarcinoma,LINC02014,lncRNA,Cholangiocarcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000248265,PHENO:Cholangiocarcinoma,FLJ12825,lncRNA,Cholangiocarcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000248265,PHENO:Glioblastoma,FLJ12825,lncRNA,Glioblastoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000248309,PHENO:Hypopharyngeal Cancer,MEF2C-AS1,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000248319,PHENO:Cholangiocarcinoma,LINC02275,lncRNA,Cholangiocarcinoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000248323,PHENO:Breast Cancer,LUCAT1,lncRNA,Breast Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000248323,PHENO:Pancreatic Cancer,n346296,lncRNA,Pancreatic Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000248346,PHENO:Hypopharyngeal Cancer,ENST00000512752,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000248367,PHENO:Hypopharyngeal Cancer,lnc-CNOT6-4,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000248440,PHENO:Hypopharyngeal Cancer,lnc-MAN2A1-1,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000248461,PHENO:Cholangiocarcinoma,LINC02119,lncRNA,Cholangiocarcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000248490,PHENO:Hypopharyngeal Cancer,lnc-CDH9-2,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000248538,PHENO:Cholangiocarcinoma,AP000695.2,lncRNA,Cholangiocarcinoma,1,1,resistant|sensitive,High,,
ENSEMBL:ENSG00000248550,PHENO:Colorectal Cancer,OTX2-AS1,lncRNA,Colorectal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000248576,PHENO:Hypopharyngeal Cancer,ENST00000504210,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000248596,PHENO:Non-Small Cell Lung Cancer,RP11-844P9.2,lncRNA,Non-Small Cell Lung Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000248599,PHENO:Hypopharyngeal Cancer,NR_033962,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000248663,PHENO:Breast Cancer,LINC00992,lncRNA,Breast Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000248663,PHENO:Cholangiocarcinoma,LINC00992,lncRNA,Cholangiocarcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000248663,PHENO:Non-Small Cell Lung Cancer,LINC00992,lncRNA,Non-Small Cell Lung Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000248668,PHENO:Gastric Cancer,OXCT1-AS1,lncRNA,Gastric Cancer,2,1,sensitive,High,,
ENSEMBL:ENSG00000248673,PHENO:Hypopharyngeal Cancer,NR_126354,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000248685,PHENO:Cholangiocarcinoma,LINC02484,lncRNA,Cholangiocarcinoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000248693,PHENO:Ovarian Cancer,CTD-2023M8.1,lncRNA,Ovarian Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000248698,PHENO:Lung Adenocarcinoma,LINC01085,lncRNA,Lung Adenocarcinoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000248709,PHENO:Cholangiocarcinoma,CTC-505O3.2,lncRNA,Cholangiocarcinoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000248714,PHENO:Hypopharyngeal Cancer,ENST00000510360,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000248727,PHENO:Cholangiocarcinoma,LINC01948,lncRNA,Cholangiocarcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000248740,PHENO:Cholangiocarcinoma,LINC02428,lncRNA,Cholangiocarcinoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000248757,PHENO:Cholangiocarcinoma,LINC02115,lncRNA,Cholangiocarcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000248771,PHENO:Colorectal Cancer,LINC01207,lncRNA,Colorectal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000248790,PHENO:Pancreatic Cancer,ENST00000512398,lncRNA,Pancreatic Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000248810,PHENO:Non-Small Cell Lung Cancer,RP11-362F19.1,lncRNA,Non-Small Cell Lung Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000248858,PHENO:Hypopharyngeal Cancer,ENST00000623616,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000248994,PHENO:Hypopharyngeal Cancer,ENST00000513419,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000248995,PHENO:Hypopharyngeal Cancer,ENST00000510459,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
