drugId,phenotypeId,drugName,phenotypeName,ncrnaCount,pmidCount,effects,levels,fda
DrugBank:DB00877,PHENO:Breast Cancer,Sirolimus,Breast Cancer,1,1,resistant,High,approved
DrugBank:DB00928,PHENO:Acute Myeloid Leukemia,Azacitidine,Acute Myeloid Leukemia,36,2,resistant|sensitive,High,approved
DrugBank:DB00947,PHENO:Breast Cancer,Fulvestrant,Breast Cancer,198,2,resistant|sensitive,High,approved
DrugBank:DB00958,PHENO:Hepatocellular Carcinoma,Carboplatin,Hepatocellular Carcinoma,27,2,resistant|sensitive,High,approved
DrugBank:DB00958,PHENO:Osteosarcoma,Carboplatin,Osteosarcoma,1,1,resistant,High,approved
DrugBank:DB00958,PHENO:Ovarian Cancer,Carboplatin,Ovarian Cancer,12,1,resistant|sensitive,High,approved
DrugBank:DB00987,PHENO:Acute Myeloid Leukemia,Cytarabine,Acute Myeloid Leukemia,1,1,sensitive,High,approved
DrugBank:DB00987,PHENO:Malignant Lymphoma,Cytarabine,Malignant Lymphoma,1,1,resistant,High,approved
DrugBank:DB00990,PHENO:Breast Cancer,Exemestane,Breast Cancer,1,1,resistant,High,approved
DrugBank:DB00997,PHENO:Acute Myeloid Leukemia,Doxorubicin,Acute Myeloid Leukemia,28,1,resistant|sensitive,High,approved
DrugBank:DB00997,PHENO:Anaplastic Thyroid Cancer,Doxorubicin,Anaplastic Thyroid Cancer,30,1,resistant|sensitive,High,approved
DrugBank:DB00997,PHENO:Breast Cancer,Doxorubicin,Breast Cancer,392,12,resistant|sensitive,High,approved
DrugBank:DB00997,PHENO:Chronic Myelogenous Leukemia,Doxorubicin,Chronic Myelogenous Leukemia,74,2,resistant|sensitive,High,approved
DrugBank:DB00997,PHENO:Colorectal Cancer,Doxorubicin,Colorectal Cancer,56,2,resistant|sensitive,High,approved
DrugBank:DB00997,PHENO:Diffuse Large B-Cell Lymphoma,Doxorubicin,Diffuse Large B-Cell Lymphoma,13,1,resistant|sensitive,High,approved
DrugBank:DB00997,PHENO:Ehrlich Ascites Tumor,Doxorubicin,Ehrlich Ascites Tumor,13,1,resistant|sensitive,High,approved
DrugBank:DB00997,PHENO:Esophageal Cancer,Doxorubicin,Esophageal Cancer,3,1,resistant|sensitive,High,approved
DrugBank:DB00997,PHENO:Gastric Cancer,Doxorubicin,Gastric Cancer,56,4,resistant|sensitive,High,approved
DrugBank:DB00997,PHENO:Hepatocellular Carcinoma,Doxorubicin,Hepatocellular Carcinoma,173,5,resistant|sensitive,High,approved
DrugBank:DB00997,PHENO:Leukemia,Doxorubicin,Leukemia,26,2,resistant|sensitive,High,approved
DrugBank:DB00997,PHENO:Osteosarcoma,Doxorubicin,Osteosarcoma,52,3,resistant|sensitive,High,approved
DrugBank:DB00997,PHENO:Ovarian Cancer,Doxorubicin,Ovarian Cancer,13,2,resistant|sensitive,High,approved
DrugBank:DB00997,PHENO:Small Cell Lung Cancer,Doxorubicin,Small Cell Lung Cancer,23,1,resistant|sensitive,High,approved
DrugBank:DB00997,PHENO:The Ewing Sarcoma/Primitive Neuroectodermal Tumor,Doxorubicin,The Ewing Sarcoma/Primitive Neuroectodermal Tumor,2,1,resistant,High,approved
DrugBank:DB00997,PHENO:Triple-Negative Breast Cancer,Doxorubicin,Triple-Negative Breast Cancer,50,1,resistant|sensitive,High,approved
DrugBank:DB00997,PHENO:osteosarcoma,Doxorubicin,osteosarcoma,19,1,resistant|sensitive,High,approved
DrugBank:DB01006,PHENO:Breast Cancer,Letrozole,Breast Cancer,2,2,resistant|sensitive,High,approved
DrugBank:DB01030,PHENO:Ovarian Cancer,Topotecan,Ovarian Cancer,11,2,resistant|sensitive,High,approved
DrugBank:DB01101,PHENO:Colorectal Cancer,Capecitabine,Colorectal Cancer,3,1,sensitive,High,approved
DrugBank:DB01101,PHENO:Rectal Adenocarcinoma,Capecitabine,Rectal Adenocarcinoma,3,1,resistant,High,approved
DrugBank:DB01101,PHENO:Rectal Cancer,Capecitabine,Rectal Cancer,4,1,resistant|sensitive,High,approved
DrugBank:DB01200,PHENO:Prolactinoma,Bromocriptine,Prolactinoma,20,1,resistant|sensitive,High,approved
DrugBank:DB01202,PHENO:Epilepsy,Levetiracetam,Epilepsy,1,1,resistant,High,approved
DrugBank:DB01204,PHENO:Breast Cancer,Mitoxantrone,Breast Cancer,46,2,resistant|sensitive,High,approved
DrugBank:DB01217,PHENO:Breast Cancer,Anastrozole,Breast Cancer,1,1,resistant,High,approved
DrugBank:DB01229,PHENO:Breast Cancer,Paclitaxel,Breast Cancer,112,9,resistant|sensitive,High,approved
DrugBank:DB01229,PHENO:Colorectal Cancer,Paclitaxel,Colorectal Cancer,55,1,resistant|sensitive,High,approved
DrugBank:DB01229,PHENO:Endometrial Cancer,Paclitaxel,Endometrial Cancer,20,1,resistant|sensitive,High,approved
DrugBank:DB01229,PHENO:Endometrial Serous Carcinoma,Paclitaxel,Endometrial Serous Carcinoma,62,1,resistant|sensitive,High,approved
DrugBank:DB01229,PHENO:Epithelial Ovarian Cancer,Paclitaxel,Epithelial Ovarian Cancer,33,1,resistant|sensitive,High,approved
DrugBank:DB01229,PHENO:Gastric Cancer,Taxol,Gastric Cancer,14,2,resistant|sensitive,High,approved
DrugBank:DB01229,PHENO:Hepatocellular Carcinoma,Taxol,Hepatocellular Carcinoma,4,2,resistant|sensitive,High,approved
DrugBank:DB01229,PHENO:Laryngeal Cancer,Paclitaxel,Laryngeal Cancer,48,1,resistant|sensitive,High,approved
DrugBank:DB01229,PHENO:Lung Adenocarcinoma,Paclitaxel,Lung Adenocarcinoma,38,3,resistant|sensitive,High,approved
DrugBank:DB01229,PHENO:Melanoma,Taxol,Melanoma,3,1,resistant|sensitive,High,approved
DrugBank:DB01229,PHENO:Nasopharyngeal Cancer,Paclitaxel,Nasopharyngeal Cancer,21,3,resistant|sensitive,High,approved
DrugBank:DB01229,PHENO:Non-Small Cell Lung Cancer,Paclitaxel,Non-Small Cell Lung Cancer,319,5,resistant|sensitive,High,approved
DrugBank:DB01229,PHENO:Ovarian Cancer,Paclitaxel,Ovarian Cancer,177,13,resistant|sensitive,High,approved
DrugBank:DB01229,PHENO:Pan-Cancer,Paclitaxel,Pan-Cancer,35,1,resistant|sensitive,High,approved
DrugBank:DB01229,PHENO:Prostate Cancer,Paclitaxel,Prostate Cancer,30,2,resistant|sensitive,High,approved
DrugBank:DB01234,PHENO:Myeloma,Dexamethasone,Myeloma,21,1,resistant|sensitive,High,approved
DrugBank:DB01248,PHENO:Breast Cancer,Docetaxel,Breast Cancer,859,8,resistant|sensitive,High,approved
DrugBank:DB01248,PHENO:Gastric Cancer,Docetaxel,Gastric Cancer,5,1,resistant|sensitive,High,approved
DrugBank:DB01248,PHENO:Head And Neck Squamous Cell Carcinoma,Docetaxel,Head And Neck Squamous Cell Carcinoma,7,1,resistant|sensitive,High,approved
DrugBank:DB01248,PHENO:Non-Small Cell Lung Cancer,Docetaxel,Non-Small Cell Lung Cancer,6,1,resistant|sensitive,High,approved
DrugBank:DB01248,PHENO:Ovarian Cancer,Docetaxel,Ovarian Cancer,6,1,resistant,High,approved
DrugBank:DB01248,PHENO:Prostate Cancer,Docetaxel,Prostate Cancer,51,3,resistant|sensitive,High,approved
DrugBank:DB01259,PHENO:Pan-Cancer,Lapatinib,Pan-Cancer,44,1,resistant|sensitive,High,approved
DrugBank:DB01268,PHENO:Breast Cancer,Sunitinib,Breast Cancer,1,1,sensitive,High,approved
DrugBank:DB01268,PHENO:Metastatic Renal Cell Carcinoma,Sunitinib,Metastatic Renal Cell Carcinoma,4,1,resistant,High,approved
DrugBank:DB01268,PHENO:Renal Cell Cancer,Sunitinib,Renal Cell Cancer,84,3,resistant|sensitive,High,approved
DrugBank:DB01698,PHENO:Hepatocellular Carcinoma,Rutin,Hepatocellular Carcinoma,1,1,resistant,High,approved
DrugBank:DB02546,PHENO:Hepatocellular Carcinoma,Vorinostat,Hepatocellular Carcinoma,5,1,sensitive,High,approved
DrugBank:DB06603,PHENO:Breast Cancer,Panobinostat,Breast Cancer,1,1,sensitive,High,approved
DrugBank:DB06603,PHENO:Non-Small Cell Lung Cancer,Panobinostat,Non-Small Cell Lung Cancer,16,1,resistant|sensitive,High,approved
DrugBank:DB06772,PHENO:Prostate Cancer,Cabazitaxel,Prostate Cancer,1,1,sensitive,High,approved
DrugBank:DB08865,PHENO:Non-Small Cell Lung Cancer,Crizotinib,Non-Small Cell Lung Cancer,37,2,resistant|sensitive,High,approved
DrugBank:DB08881,PHENO:Melanoma,Vemurafenib,Melanoma,420,7,resistant|sensitive,High,approved
