drugId,diseaseId,max_phase,labels,statuses
CHEMBL1152,EFO_0007141,4.0,allergic conjunctivitis,Completed
CHEMBL1152,HP_0000559,4.0,Corneal scarring,
CHEMBL1152,MONDO_0002280,4.0,anemia,
CHEMBL1152,MONDO_0005301,4.0,multiple sclerosis,
CHEMBL1152,MP_0001845,4.0,inflammation,Completed
CHEMBL1159650,EFO_0000676,4.0,psoriasis,Completed
CHEMBL1159650,EFO_0000701,4.0,skin disease,
CHEMBL1159650,EFO_1001494,4.0,psoriasis vulgaris,Completed
CHEMBL1159717,HP_0006536,4.0,Airway obstruction,
CHEMBL1161,EFO_0000701,4.0,skin disease,
CHEMBL1161,EFO_0003956,4.0,seasonal allergic rhinitis,Completed | Unknown status
CHEMBL1161,EFO_0005854,4.0,allergic rhinitis,"Active, not recruiting | Completed"
CHEMBL1161,EFO_1000391,4.0,Nasal Cavity Polyp,Terminated
CHEMBL1161,HP_0001742,4.0,Nasal congestion,
CHEMBL1161,HP_0006536,4.0,Airway obstruction,
CHEMBL1161,HP_0100582,4.0,Nasal polyposis,
CHEMBL1161,MONDO_0004979,4.0,asthma,Completed | Terminated
CHEMBL1164729,EFO_0004274,4.0,gout,Completed | Enrolling by invitation
CHEMBL1164729,EFO_0009104,4.0,hyperuricemia,Completed | Recruiting
CHEMBL1165,EFO_0000319,4.0,cardiovascular disease,
CHEMBL1166,HP_0001873,4.0,Thrombocytopenia,Terminated | Completed | Withdrawn
CHEMBL1166,HP_0004419,4.0,Recurrent thrombophlebitis,
CHEMBL1166,MONDO_0000831,4.0,thrombotic disease,Completed
CHEMBL1168,EFO_0000319,4.0,cardiovascular disease,Completed
CHEMBL1168,EFO_0000373,4.0,congestive heart failure,
CHEMBL1168,EFO_0000400,4.0,diabetes mellitus,
CHEMBL1168,EFO_0000537,4.0,hypertension,Completed | Recruiting | Withdrawn
CHEMBL1168,EFO_0000612,4.0,myocardial infarction,
CHEMBL1168,EFO_0000712,4.0,stroke,
CHEMBL1168,EFO_0001645,4.0,coronary artery disease,Completed | Recruiting | Terminated
CHEMBL1168,EFO_0003144,4.0,heart failure,
CHEMBL1172,EFO_0003956,4.0,seasonal allergic rhinitis,Completed
CHEMBL1172,EFO_0005531,4.0,urticaria,Terminated | Completed
CHEMBL1172,EFO_0005854,4.0,allergic rhinitis,Completed
CHEMBL1172,EFO_1001417,4.0,"Rhinitis, Allergic, Perennial",Completed
CHEMBL1172,MONDO_0005271,4.0,allergic disease,Completed
CHEMBL117287,HP_0002019,4.0,Constipation,Completed
CHEMBL117785,EFO_0004152,4.0,chorea,
CHEMBL117785,MONDO_0007739,4.0,Huntington disease,Completed | Recruiting
CHEMBL118,EFO_0000616,4.0,neoplasm,
CHEMBL118,EFO_0000685,4.0,rheumatoid arthritis,Completed
CHEMBL118,EFO_0000712,4.0,stroke,
CHEMBL118,EFO_0002609,4.0,juvenile idiopathic arthritis,Completed
CHEMBL118,EFO_0003898,4.0,ankylosing spondylitis,Terminated | Unknown status | Completed
CHEMBL118,EFO_0004142,4.0,colorectal neoplasm,
CHEMBL118,EFO_0005755,4.0,rheumatic disease,
CHEMBL118,HP_0004398,4.0,Peptic ulcer,Completed
CHEMBL118,HP_0012531,4.0,Pain,Completed | Terminated | Unknown status | Withdrawn
CHEMBL118,HP_0100607,4.0,Dysmenorrhea,
CHEMBL118,MONDO_0003937,4.0,spondylitis,
CHEMBL118,MONDO_0005178,4.0,osteoarthritis,Terminated | Completed | Unknown status
CHEMBL118,MONDO_0005277,4.0,migraine disorder,
CHEMBL118,MP_0001914,4.0,hemorrhage,
CHEMBL118,Orphanet_733,4.0,Familial adenomatous polyposis,
CHEMBL1184,HP_0000616,4.0,Miosis,
CHEMBL1185,MONDO_0005277,4.0,migraine disorder,Completed
CHEMBL1189432,EFO_0005751,4.0,eye allergy,
CHEMBL1189432,HP_0001742,4.0,Nasal congestion,
CHEMBL1189679,EFO_0006911,4.0,Chemotherapy-induced nausea and vomiting,"Completed | Active, not recruiting"
CHEMBL1189679,HP_0002018,4.0,Nausea,
CHEMBL1193,HP_0000989,4.0,Pruritus,
CHEMBL1193,MONDO_0005271,4.0,allergic disease,
CHEMBL1194666,EFO_0001073,4.0,obesity,Terminated
CHEMBL1200322,EFO_0006788,4.0,anxiety disorder,
CHEMBL1200322,EFO_1001892,4.0,generalized anxiety disorder,
CHEMBL1200322,MONDO_0002009,4.0,major depressive disorder,Unknown status
CHEMBL1200328,EFO_0002970,4.0,muscular disease,
CHEMBL1200328,EFO_0005687,4.0,fibromyalgia,Completed
CHEMBL1200328,EFO_0005762,4.0,neuropathic pain,
CHEMBL1200328,EFO_0006788,4.0,anxiety disorder,
CHEMBL1200328,EFO_1000783,4.0,diabetic neuropathy,Completed
CHEMBL1200328,HP_0010992,4.0,Stress urinary incontinence,Completed
CHEMBL1200328,HP_0012532,4.0,Chronic pain,
CHEMBL1200328,MONDO_0002009,4.0,major depressive disorder,Completed
CHEMBL1200332,MONDO_0002050,4.0,depressive disorder,
CHEMBL1200335,EFO_0000616,4.0,neoplasm,
CHEMBL1200335,EFO_1001078,4.0,orchitis,
CHEMBL1200335,HP_0000044,4.0,Hypogonadotropic hypogonadism,
CHEMBL1200335,MONDO_0002146,4.0,hypogonadism,
CHEMBL1200343,EFO_0000537,4.0,hypertension,
CHEMBL1200343,EFO_0000612,4.0,myocardial infarction,
CHEMBL1200343,EFO_0001645,4.0,coronary artery disease,
CHEMBL1200374,EFO_0000305,4.0,breast carcinoma,Completed
CHEMBL1200374,EFO_0000616,4.0,neoplasm,
CHEMBL1200374,EFO_0003869,4.0,breast neoplasm,Completed | Terminated
CHEMBL1200374,MONDO_0007254,4.0,breast cancer,Recruiting | Completed
