targetId,diseaseId,max_phase,labels,max_score,evidence_count_sum,datatype_ids,datasource_ids
ENSG00000175535,EFO_0001073,4.0,obesity,0.944506089413558,21,literature | known_drug,europepmc | chembl
ENSG00000176014,EFO_0000183,4.0,Hodgkins lymphoma,0.9501049080515948,140,known_drug,chembl
ENSG00000176014,EFO_0000305,4.0,breast carcinoma,0.9856571599163216,103,known_drug | rna_expression,chembl | expression_atlas
ENSG00000176014,EFO_0000403,4.0,diffuse large B-cell lymphoma,0.9226993833972787,216,known_drug | literature,chembl | europepmc
ENSG00000176014,EFO_0000616,4.0,neoplasm,0.9775000422950924,531,literature | known_drug,europepmc | chembl
ENSG00000176014,EFO_0001378,4.0,multiple myeloma,0.9346130336917046,93,known_drug,chembl
ENSG00000176014,EFO_0003032,4.0,anaplastic large cell lymphoma,0.7543631216144935,17,known_drug,chembl
ENSG00000176014,EFO_0003869,4.0,breast neoplasm,0.9748267560965964,208,known_drug | literature,chembl | europepmc
ENSG00000176014,EFO_0005952,4.0,non-Hodgkins lymphoma,0.8664605963615702,70,known_drug,chembl
ENSG00000176014,EFO_1001100,4.0,peritoneal neoplasm,0.8192935081927347,17,known_drug,chembl
ENSG00000176014,MONDO_0002974,4.0,cervical cancer,0.8724887017951934,100,known_drug,chembl
ENSG00000176014,MONDO_0004992,4.0,cancer,0.9038918606894536,220,known_drug | literature,chembl | europepmc
ENSG00000176014,MONDO_0007254,4.0,breast cancer,0.9949579168871926,1783,literature | known_drug,europepmc | chembl
ENSG00000176105,EFO_0000220,4.0,acute lymphoblastic leukemia,0.903724422098834,39,known_drug | literature,chembl | europepmc
ENSG00000176105,EFO_0000339,4.0,chronic myelogenous leukemia,0.9580573757688562,67,literature | known_drug,europepmc | chembl
ENSG00000176105,EFO_0004289,4.0,lymphoid leukemia,0.7449206373023215,9,known_drug,chembl
ENSG00000176884,EFO_0000544,4.0,infection,0.9772348002576626,42,known_drug | literature,chembl | europepmc
ENSG00000176884,EFO_0007328,4.0,influenza,0.98151585710873,35,known_drug,chembl
ENSG00000176884,EFO_1000860,4.0,cerebral atherosclerosis,0.9190679877429972,7,known_drug,chembl
ENSG00000176884,EFO_1001175,4.0,secondary Parkinson disease,0.9190679877429972,7,known_drug,chembl
ENSG00000176884,EFO_1001402,4.0,postencephalitic Parkinson disease,0.9190679877429972,7,known_drug,chembl
ENSG00000176884,HP_0012531,4.0,Pain,0.8617460357177759,57,known_drug | literature,chembl | europepmc
ENSG00000176884,MONDO_0005180,4.0,Parkinson disease,0.9923733134253672,100,known_drug | affected_pathway | literature,chembl | crispr_screen | europepmc
ENSG00000176890,EFO_0000228,4.0,adenocarcinoma,0.8254244829305628,92,literature | known_drug,europepmc | chembl
ENSG00000176890,EFO_0000305,4.0,breast carcinoma,0.9434670618439972,36,literature | known_drug | rna_expression,europepmc | chembl | expression_atlas
ENSG00000176890,EFO_0000503,4.0,gastric adenocarcinoma,0.856576836940172,48,known_drug | literature,chembl | europepmc
ENSG00000176890,EFO_0000588,4.0,mesothelioma,0.8893398373515973,78,literature | known_drug,europepmc | chembl
ENSG00000176890,EFO_0000616,4.0,neoplasm,0.9672141595875668,1879,literature | known_drug,europepmc | chembl
ENSG00000176890,EFO_0000770,4.0,malignant pleural mesothelioma,0.7529788896842603,52,literature | known_drug,europepmc | chembl
ENSG00000176890,EFO_0002496,4.0,actinic keratosis,0.9394514962708276,15,known_drug,chembl
ENSG00000176890,EFO_0003060,4.0,non-small cell lung carcinoma,0.9313203523524018,881,known_drug | literature | rna_expression,chembl | europepmc | expression_atlas
ENSG00000176890,EFO_0003869,4.0,breast neoplasm,0.9060259224002396,44,known_drug | literature,chembl | europepmc
ENSG00000176890,EFO_0003897,4.0,stomach neoplasm,0.8645823537905488,71,known_drug | literature,chembl | europepmc
ENSG00000176890,EFO_0004142,4.0,colorectal neoplasm,0.9039800119136812,111,known_drug | literature,chembl | europepmc
ENSG00000176890,EFO_0004193,4.0,basal cell carcinoma,0.7210734738337838,6,known_drug | literature,chembl | europepmc
ENSG00000176890,EFO_0004288,4.0,colonic neoplasm,0.9418055028155669,48,literature | known_drug,europepmc | chembl
ENSG00000176890,MONDO_0005575,4.0,colorectal cancer,0.9732696912390184,932,literature | known_drug,europepmc | chembl
ENSG00000176890,MONDO_0007254,4.0,breast cancer,0.9698237843998984,711,literature | known_drug,europepmc | chembl
ENSG00000177455,EFO_0000220,4.0,acute lymphoblastic leukemia,0.967724069746375,2700,known_drug | literature,chembl | europepmc
ENSG00000177455,EFO_0000403,4.0,diffuse large B-cell lymphoma,0.9425847079506736,999,known_drug | literature,chembl | europepmc
ENSG00000177455,EFO_0000574,4.0,lymphoma,0.9252978444144472,1127,literature | known_drug,europepmc | chembl
ENSG00000177455,EFO_0000616,4.0,neoplasm,0.988194562534583,2961,literature | known_drug,europepmc | chembl
ENSG00000177455,EFO_0004256,4.0,neuromyelitis optica,0.8736978779675014,59,literature | known_drug,europepmc | chembl
ENSG00000177455,EFO_0004289,4.0,lymphoid leukemia,0.848699008487075,30,literature | known_drug,europepmc | chembl
ENSG00000177455,MONDO_0018906,4.0,follicular lymphoma,0.8061426390326694,107,literature | known_drug,europepmc | chembl
ENSG00000177663,EFO_0000676,4.0,psoriasis,0.9576428111794408,206,genetic_association | known_drug | literature,gwas_credible_sets | chembl | europepmc | eva
ENSG00000177663,EFO_1001494,4.0,psoriasis vulgaris,0.8897742701710087,35,known_drug | literature,chembl | europepmc
ENSG00000178057,EFO_0000400,4.0,diabetes mellitus,0.9897662699492094,101,literature | known_drug,europepmc | chembl
ENSG00000178057,MONDO_0005148,4.0,type 2 diabetes mellitus,0.9984097546156244,687,known_drug | literature,chembl | europepmc
ENSG00000178127,EFO_0000400,4.0,diabetes mellitus,0.9897662699492094,101,literature | known_drug,europepmc | chembl
ENSG00000178127,MONDO_0005148,4.0,type 2 diabetes mellitus,0.9984097546156244,682,known_drug,chembl
ENSG00000178394,EFO_0000319,4.0,cardiovascular disease,0.7599134970145264,4,literature | known_drug,europepmc | chembl
ENSG00000178394,EFO_0003758,4.0,autism,0.9808517346477206,39,known_drug | literature,chembl | europepmc
ENSG00000178394,EFO_0004895,4.0,Tourette syndrome,0.9077444820693245,13,literature | known_drug,europepmc | chembl
ENSG00000178394,EFO_0005407,4.0,psychosis,0.9253185107971446,36,literature | known_drug,europepmc | chembl
ENSG00000178394,EFO_0005411,4.0,schizoaffective disorder,0.9645575268732955,27,literature | known_drug,europepmc | chembl
ENSG00000178394,EFO_0006788,4.0,anxiety disorder,0.989052667521338,148,known_drug | literature,chembl | europepmc
ENSG00000178394,EFO_0009963,4.0,bipolar I disorder,0.9480672699367634,20,known_drug | literature,chembl | europepmc
ENSG00000178394,EFO_1001892,4.0,generalized anxiety disorder,0.8388456583400073,40,known_drug | literature,chembl | europepmc
ENSG00000178394,HP_0000713,4.0,Agitation,0.9456684879483328,11,known_drug,chembl
ENSG00000178394,HP_0000739,4.0,Anxiety,0.8626369148442898,669,literature | known_drug,europepmc | chembl
ENSG00000178394,MONDO_0002009,4.0,major depressive disorder,0.9871072821586302,401,known_drug | literature | animal_model,chembl | europepmc | impc
ENSG00000178394,MONDO_0002050,4.0,depressive disorder,0.9340835364017576,654,known_drug | literature,chembl | europepmc
ENSG00000178394,MONDO_0004985,4.0,bipolar disorder,0.9882632466070392,91,known_drug | literature | genetic_association,chembl | europepmc | gwas_credible_sets
ENSG00000178394,MONDO_0005090,4.0,schizophrenia,0.9957522223867392,458,known_drug | literature,chembl | europepmc
ENSG00000178568,EFO_0000616,4.0,neoplasm,0.9369810913006984,613,literature | somatic_mutation | known_drug,europepmc | cancer_gene_census | chembl
ENSG00000178568,EFO_0003060,4.0,non-small cell lung carcinoma,0.941838384432523,198,somatic_mutation | known_drug | literature,cancer_gene_census | chembl | europepmc
ENSG00000178568,MONDO_0002108,4.0,thyroid cancer,0.7757534716856291,12,known_drug | literature,chembl | europepmc
ENSG00000178568,MONDO_0007254,4.0,breast cancer,0.9246765907680424,376,literature | genetic_association | known_drug,europepmc | gwas_credible_sets | chembl
ENSG00000178568,MONDO_0015277,4.0,medullary thyroid gland carcinoma,0.7935602610177124,8,literature | known_drug,europepmc | chembl
ENSG00000179097,MONDO_0005277,4.0,migraine disorder,0.979285190887045,69,literature | known_drug,europepmc | chembl
ENSG00000179142,EFO_0003099,4.0,Cushing syndrome,0.788199166070067,14,known_drug | literature,chembl | europepmc
ENSG00000179546,EFO_0000474,4.0,epilepsy,0.727828260473913,5,known_drug | literature,chembl | europepmc
ENSG00000179546,EFO_0001073,4.0,obesity,0.7632908903345909,3,known_drug,chembl
ENSG00000179546,HP_0002315,4.0,Headache,0.8710803981444514,5,known_drug,chembl
ENSG00000179546,MONDO_0005277,4.0,migraine disorder,0.9982356040630496,440,literature | known_drug,europepmc | chembl
ENSG00000180176,EFO_0000239,4.0,adrenal gland pheochromocytoma,0.7599134970145264,6,literature | known_drug,europepmc | chembl
ENSG00000180210,EFO_0000275,4.0,atrial fibrillation,0.919562696905163,110,literature | known_drug,europepmc | chembl
ENSG00000180210,EFO_0000712,4.0,stroke,0.8626369148442898,24,genetic_association | known_drug | literature,gwas_credible_sets | chembl | europepmc | eva
ENSG00000180210,EFO_0003827,4.0,pulmonary embolism,0.8869490149534623,22,known_drug | literature | genetic_association,chembl | europepmc | gwas_credible_sets
ENSG00000180210,EFO_0003907,4.0,deep vein thrombosis,0.9175746697553462,279,known_drug | genetic_association | literature,chembl | gwas_credible_sets | europepmc
ENSG00000180210,EFO_0004286,4.0,venous thromboembolism,0.9275057018483408,534,literature | known_drug | genetic_association,europepmc | chembl | eva | gwas_credible_sets
ENSG00000180210,EFO_0005672,4.0,acute coronary syndrome,0.8710803981444514,17,literature | known_drug,europepmc | chembl
ENSG00000180210,EFO_1000985,4.0,intermediate coronary syndrome,0.727828260473913,3,known_drug,chembl
ENSG00000180210,HP_0001873,4.0,Thrombocytopenia,0.97285785546905,360,literature | known_drug,europepmc | chembl
ENSG00000180210,HP_0001907,4.0,Thromboembolism,0.8572301089224595,94,literature | genetic_association | known_drug,europepmc | gwas_credible_sets | chembl
ENSG00000180210,HP_0004419,4.0,Recurrent thrombophlebitis,0.9285669064556789,8,known_drug,chembl
ENSG00000180210,HP_0004936,4.0,Venous thrombosis,0.8274613634158176,263,genetic_literature | known_drug | literature,genomics_england | chembl | europepmc
ENSG00000180210,MONDO_0000831,4.0,thrombotic disease,0.899431643005668,318,known_drug | literature,chembl | europepmc
ENSG00000180616,EFO_1000852,4.0,carcinoid syndrome,0.8204733470890196,12,literature | known_drug,europepmc | chembl
ENSG00000180616,EFO_1001485,4.0,acromegaly,0.98327391678343,144,known_drug | literature,chembl | europepmc
ENSG00000180739,EFO_0000729,4.0,ulcerative colitis,0.8267088016078079,31,rna_expression | genetic_association | known_drug | literature,expression_atlas | gwas_credible_sets | chembl | europepmc
ENSG00000180914,EFO_0003917,4.0,premature birth,0.833370287935904,16,known_drug,chembl
ENSG00000180914,EFO_1001863,4.0,Uterine Inertia,0.7599134970145264,3,known_drug | literature,chembl | europepmc
ENSG00000180914,MP_0001914,4.0,hemorrhage,0.9067268125770076,14,literature | known_drug,europepmc | chembl
ENSG00000181072,EFO_0003956,4.0,seasonal allergic rhinitis,0.8736978779675014,6,known_drug,chembl
ENSG00000181072,EFO_0005854,4.0,allergic rhinitis,0.865457038266544,4,known_drug,chembl
ENSG00000181072,EFO_0006865,4.0,urgency urinary incontinence,0.977459512815427,28,known_drug,chembl
ENSG00000181072,EFO_0008546,4.0,poisoning,0.865457038266544,4,known_drug,chembl
ENSG00000181072,EFO_1000781,4.0,overactive bladder,0.9965779671992396,255,literature | known_drug,europepmc | chembl
ENSG00000181072,HP_0000020,4.0,Urinary incontinence,0.9822763598596894,41,known_drug,chembl
ENSG00000181072,HP_0000103,4.0,Polyuria,0.9190679877429972,7,known_drug,chembl
ENSG00000181072,HP_0004398,4.0,Peptic ulcer,0.865457038266544,4,known_drug,chembl
ENSG00000181072,HP_0011499,4.0,Mydriasis,0.9421515329208274,10,known_drug,chembl
ENSG00000181072,MONDO_0004247,4.0,peptic ulcer disease,0.865457038266544,4,known_drug,chembl
ENSG00000181072,MONDO_0005180,4.0,Parkinson disease,0.865457038266544,6,known_drug | literature,chembl | europepmc
ENSG00000181104,EFO_0000612,4.0,myocardial infarction,0.8274613634158176,83,literature | known_drug,europepmc | chembl
ENSG00000181104,EFO_0004265,4.0,peripheral arterial disease,0.7599134970145264,48,literature | known_drug,europepmc | chembl
ENSG00000181163,EFO_0000616,4.0,neoplasm,0.9127679556574576,538,literature | known_drug,europepmc | chembl
ENSG00000181163,EFO_0003060,4.0,non-small cell lung carcinoma,0.9560583186344356,111,somatic_mutation | known_drug | literature,cancer_gene_census | chembl | europepmc
ENSG00000181163,MONDO_0004992,4.0,cancer,0.9813019915695472,392,known_drug | literature | affected_pathway,chembl | europepmc | reactome
ENSG00000182054,EFO_0000222,4.0,acute myeloid leukemia,0.9830110013769604,1593,somatic_mutation | affected_pathway | known_drug | literature | genetic_association,intogen | cancer_biomarkers | cancer_gene_census | chembl | europepmc | gene_burden
ENSG00000182256,EFO_0000474,4.0,epilepsy,0.995092013329404,161,known_drug | literature,chembl | europepmc
ENSG00000182256,HP_0001250,4.0,Seizure,0.9693551982152095,37,known_drug,chembl
ENSG00000182256,MONDO_0005277,4.0,migraine disorder,0.9790506912711584,46,known_drug,chembl
ENSG00000182256,MONDO_0016532,4.0,Lennox-Gastaut syndrome,0.9102798724714009,7,known_drug,chembl
ENSG00000182326,EFO_1001264,4.0,"Anemia, Hemolytic, Autoimmune",0.7599134970145264,6,known_drug | literature,chembl | europepmc
ENSG00000182326,MONDO_0019623,4.0,hereditary angioedema,0.8795894572502888,267,literature | known_drug,europepmc | chembl
ENSG00000182333,EFO_0001073,4.0,obesity,0.944506089413558,20,known_drug,chembl
ENSG00000182578,EFO_0000616,4.0,neoplasm,0.9845539497345276,1827,literature | somatic_mutation | known_drug,europepmc | cancer_gene_census | chembl
ENSG00000182578,EFO_0000681,4.0,renal cell carcinoma,0.9739163839708443,175,known_drug | literature,chembl | europepmc
ENSG00000182578,EFO_0000691,4.0,sarcoma,0.8741839954573877,40,known_drug | literature,chembl | europepmc
ENSG00000182578,EFO_1000562,4.0,Tenosynovial Giant Cell Tumor,0.7599134970145264,48,literature | known_drug,europepmc | chembl
ENSG00000182578,EFO_1001901,4.0,neuroendocrine neoplasm,0.8476824720237899,16,known_drug | literature,chembl | europepmc
ENSG00000182578,MONDO_0011719,4.0,gastrointestinal stromal tumor,0.9397996095372532,48,literature | somatic_mutation | known_drug,europepmc | cancer_gene_census | chembl
ENSG00000182580,MONDO_0002108,4.0,thyroid cancer,0.7757534716856291,7,known_drug | literature,chembl | europepmc
