drugId,targetId,max_phase,statuses,mechanisms,target_name
CHEMBL4297774,ENSG00000146648,4.0,,Epidermal growth factor receptor erbB1 inhibitor,Epidermal growth factor receptor
CHEMBL4297778,ENSG00000177455,4.0,,B-lymphocyte antigen CD19 binding agent,B-lymphocyte antigen CD19
CHEMBL4297788,ENSG00000156738,4.0,,B-lymphocyte antigen CD20 binding agent,B-lymphocyte antigen CD20
CHEMBL4297788,ENSG00000160654,4.0,,T cell surface glycoprotein CD3 binding agent,T cell surface glycoprotein CD3
CHEMBL4297788,ENSG00000167286,4.0,,T cell surface glycoprotein CD3 binding agent,T cell surface glycoprotein CD3
CHEMBL4297788,ENSG00000198851,4.0,,T cell surface glycoprotein CD3 binding agent,T cell surface glycoprotein CD3
CHEMBL4297809,ENSG00000048462,4.0,Recruiting,Tumor necrosis factor receptor superfamily member 17 binding agent,Tumor necrosis factor receptor superfamily member 17
CHEMBL4297809,ENSG00000160654,4.0,Recruiting,T cell surface glycoprotein CD3 binding agent,T cell surface glycoprotein CD3
CHEMBL4297809,ENSG00000167286,4.0,Recruiting,T cell surface glycoprotein CD3 binding agent,T cell surface glycoprotein CD3
CHEMBL4297809,ENSG00000198851,4.0,Recruiting,T cell surface glycoprotein CD3 binding agent,T cell surface glycoprotein CD3
CHEMBL4297820,ENSG00000104870,4.0,,IgG receptor FcRn large subunit p51 inhibitor,IgG receptor FcRn large subunit p51
CHEMBL4297830,ENSG00000112964,4.0,,Growth hormone receptor agonist,Growth hormone receptor
CHEMBL4297832,ENSG00000182326,4.0,,Complement C1s inhibitor,Complement C1s subcomponent
CHEMBL4297839,ENSG00000010310,4.0,"Recruiting | Active, not recruiting | Completed",Gastric inhibitory polypeptide receptor agonist,Gastric inhibitory polypeptide receptor
CHEMBL4297839,ENSG00000112164,4.0,"Active, not recruiting | Completed | Recruiting",Glucagon-like peptide 1 receptor agonist,Glucagon-like peptide 1 receptor
CHEMBL4297840,ENSG00000188389,4.0,"Not yet recruiting | Recruiting | Active, not recruiting",Programmed cell death protein 1 inhibitor,Programmed cell death protein 1
CHEMBL4297841,ENSG00000101162,4.0,,Tubulin inhibitor,Tubulin
CHEMBL4297841,ENSG00000104833,4.0,,Tubulin inhibitor,Tubulin
CHEMBL4297841,ENSG00000117525,4.0,,Coagulation factor III binding agent,Tissue factor
CHEMBL4297841,ENSG00000137267,4.0,,Tubulin inhibitor,Tubulin
CHEMBL4297841,ENSG00000137285,4.0,,Tubulin inhibitor,Tubulin
CHEMBL4297841,ENSG00000176014,4.0,,Tubulin inhibitor,Tubulin
CHEMBL4297841,ENSG00000188229,4.0,,Tubulin inhibitor,Tubulin
CHEMBL4297841,ENSG00000196230,4.0,,Tubulin inhibitor,Tubulin
CHEMBL4297841,ENSG00000258947,4.0,,Tubulin inhibitor,Tubulin
CHEMBL4297841,ENSG00000261456,4.0,,Tubulin inhibitor,Tubulin
